"CD_MATCH","NB_NUMERO","ID_JOUEUR","NB_TIR_ATTAQUE","NB_BUT_ATTAQUE","PCT_BUT_ATTAQUE","NB_POTEAU_ATTAQUE","PCT_POTEAU_ATTAQUE","NB_HORS_CADRE_ATTAQUE","PCT_HORS_CADRE_ATTAQUE","NB_TIR_ARRETES_ATTAQUE","PCT_TIR_ARRETES_ATTAQUE","NB_TIR_CONTRES_PAR_ADVERSAIRE_ATTAQUE","PCT_TIR_CONTRES_PAR_ADVERSAIRE_ATTAQUE","NB_TIR_ATTAQUE_BUT_VIDE","PCT_TIR_ATTAQUE_BUT_VIDE","NB_BUT_ATTAQUE_BUT_VIDE","PCT_BUT_ATTAQUE_BUT_VIDE","NB_POTEAU_ATTAQUE_BUT_VIDE","PCT_POTEAU_ATTAQUE_BUT_VIDE","NB_HORS_CADRE_ATTAQUE_BUT_VIDE","PCT_HORS_CADRE_ATTAQUE_BUT_VIDE","NB_TIR_ALL","NB_BUT_ALL","PCT_BUT_ALL","NB_POTEAU_ALL","PCT_POTEAU_ALL","NB_HORS_CADRE_ALL","PCT_HORS_CADRE_ALL","NB_TIR_ARRETES_ALL","PCT_TIR_ARRETES_ALL","PCT_ARRETS_ALL","NB_TIR_7M","NB_BUT_7M","PCT_BUT_7M","NB_POTEAU_7M","PCT_POTEAU_7M","NB_HORS_CADRE_7M","PCT_HORS_CADRE_7M","NB_TIR_ARRETES_7M","PCT_TIR_ARRETES_7M","PCT_ARRETS_7M","NB_TIR_JEU","NB_BUT_JEU","PCT_BUT_JEU","NB_POTEAU_JEU","PCT_POTEAU_JEU","NB_HORS_CADRE_JEU","PCT_HORS_CADRE_JEU","NB_TIR_ARRETES_JEU","PCT_TIR_ARRETES_JEU","PCT_ARRETS_JEU","NB_TIR_ATTAQUE_PLACEE","NB_BUT_ATTAQUE_PLACEE","PCT_BUT_ATTAQUE_PLACEE","NB_POTEAU_ATTAQUE_PLACEE","PCT_POTEAU_ATTAQUE_PLACEE","NB_HORS_CADRE_ATTAQUE_PLACEE","PCT_HORS_CADRE_ATTAQUE_PLACEE","NB_TIR_ARRETES_ATTAQUE_PLACEE","PCT_TIR_ARRETES_ATTAQUE_PLACEE","PCT_ARRETS_ATTAQUE_PLACEE","NB_TIR_CONTRE_ATTAQUE","NB_BUT_CONTRE_ATTAQUE","PCT_BUT_CONTRE_ATTAQUE","NB_POTEAU_CONTRE_ATTAQUE","PCT_POTEAU_CONTRE_ATTAQUE","NB_HORS_CADRE_CONTRE_ATTAQUE","PCT_HORS_CADRE_CONTRE_ATTAQUE","NB_TIR_ARRETES_CONTRE_ATTAQUE","PCT_TIR_ARRETES_CONTRE_ATTAQUE","PCT_ARRETS_CONTRE_ATTAQUE","NB_PDB_ATTAQUE","NB_BALLON_SORTI_ATTAQUE","PCT_BALLON_SORTI_ATTAQUE","NB_INTERCEPTION_ATTAQUE","PCT_INTERCEPTION_ATTAQUE","NB_PASSE_INCOMPLETE_ATTAQUE","PCT_PASSE_INCOMPLETE_ATTAQUE","NB_INTERCEPTION_DEFENSE","NB_FAUTE_DEFENSE","NB_2_MINUTES_DEFENSE","PCT_2_MINUTES_DEFENSE","NB_CARTON_JAUNE_DEFENSE","PCT_CARTON_JAUNE_DEFENSE","NB_CARTON_ROUGE_DEFENSE","PCT_CARTON_ROUGE_DEFENSE","NB_CARTON_BLEU_DEFENSE","NB_FAUTE_ATTAQUE","NB_2_MINUTES_ATTAQUE","PCT_2_MINUTES_ATTAQUE","NB_CARTON_JAUNE_ATTAQUE","PCT_CARTON_JAUNE_ATTAQUE","NB_CARTON_ROUGE_ATTAQUE","PCT_CARTON_ROUGE_ATTAQUE","NB_CARTON_BLEU_ATTAQUE","PCT_CARTON_BLEU_ATTAQUE","NB_PASSE_DEC","NB_HPI","NB_HPI_GOAL","NB_HPI_AUTRE","FG_SCHWENKER","TS_INSERT","TS_UPDATE"
FR-1-H_1_25_218,"00","19751211_KARABOUE_DAOUDA_FR-1-H_1_FR_FTHB_31000",,,,,,,,,,,,,,,,,,,,,25,,,,,,9,,0.3,,2,,,,,,1,,0.3,,21,,,,,,8,,0.3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_25_218,"00","19781206_SIFFERT_ARNAUD_FR-1-H_1_FR_DHBGL_59140",,,,,,,,,,,,,,,,,,,,,5,,,,,,6,,0.5,,0,,,,,,0,,,,5,,,,,,6,,0.5,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_25_218,"00","19861216_GERARD_VINCENT_FR-1-H_1_FR_DHBGL_59140",,,,,,,,,,,,,,,,,,,,,20,,,,,,10,,0.4,,2,,,,,,1,,0.3,,16,,,,,,9,,0.4,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_25_219,"00","19790503_DJUKANOVIC_SLAVISA_FR-1-H_1_FR_SRVHB_83700",,,,,,,,,,,,,,,,,,,,,28,,,,,,17,,0.4,,1,,,,,,2,,0.7,,23,,,,,,15,,0.4,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_25_219,"00","19811226_GENTY_YANN_FR-1-H_1_FR_IPHB_13806",,,,,,,,,,,,,,,,,,,,,9,,,,,,2,,0.2,,0,,,,,,0,,,,9,,,,,,2,,0.2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_25_219,"00","19821224_JOVICIC_MLADEN_FR-1-H_1_FR_IPHB_13806",,,,,,,,,,,,,,,,,,,,,5,,,,,,3,,0.4,,0,,,,,,0,,,,5,,,,,,3,,0.4,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18","2021-03-08 00:20:01"
FR-1-H_1_25_219,"00","19840331_LORENZELLI_FLAVIEN_FR-1-H_1_FR_IPHB_13806",,,,,,,,,,,,,,,,,,,,,18,,,,,,14,,0.5,,2,,,,,,1,,0.3,,14,,,,,,13,,0.5,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_25_219,"00","19840418_HACHID_ABDELKADER_FR-1-H_1_FR_IPHB_13806",,,,,,,,,,,,,,,,,,,,,24,,,,,,6,,0.2,,2,,,,,,0,,0.0,,22,,,,,,6,,0.2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18","2021-03-08 00:20:01"
FR-1-H_1_25_219,"00","19850708_CARETTE_ANTHONY_FR-1-H_1_FR_IPHB_13806",,,,,,,,,,,,,,,,,,,,,0,,,,,,1,,1.0,,0,,,,,,0,,,,0,,,,,,1,,1.0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18","2021-03-08 00:20:01"
FR-1-H_1_25_220,"00","19761102_LEMONNE_NICOLAS_FR-1-H_1_FR_CRMHB_35510",,,,,,,,,,,,,,,,,,,,,37,,,,,,14,,0.3,,2,,,,,,0,,0.0,,35,,,,,,14,,0.3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_25_220,"00","19840210_HERRMANN_BRICE_FR-1-H_1_FR_CRMHB_35510",,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,0,,,,,,0,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18","2021-03-08 00:20:01"
FR-1-H_1_25_220,"00","19850202_GERVELAS_REMY_FR-1-H_1_FR_CRMHB_35510",,,,,,,,,,,,,,,,,,,,,1,,,,,,0,,0.0,,1,,,,,,0,,0.0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_25_220,"00","19920811_DELOURMEL_TONY_FR-1-H_1_FR_CRMHB_35510",,,,,,,,,,,,,,,,,,,,,0,,,,,,1,,1.0,,0,,,,,,0,,,,0,,,,,,1,,1.0,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_25_221,"00","19730202_ANICETTE_OLIVIER_FR-1-H_1_FR_USAMNG_30918",,,,,,,,,,,,,,,,,,,,,0,,,,,,1,,1.0,,0,,,,,,0,,,,0,,,,,,1,,1.0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18","2021-03-08 00:20:01"
FR-1-H_1_25_221,"00","19740316_POCUCA_DRAGAN_FR-1-H_1_FR_USAMNG_30918",,,,,,,,,,,,,,,,,,,,,0,,,,,,2,,1.0,,0,,,,,,0,,,,0,,,,,,2,,1.0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18","2021-03-08 00:20:01"
FR-1-H_1_25_221,"00","19791214_MERCERE_SEBASTIEN_FR-1-H_1_FR_USAMNG_30918",,,,,,,,,,,,,,,,,,,,,13,,,,,,1,,0.1,,1,,,,,,0,,0.0,,12,,,,,,1,,0.1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18","2021-03-08 00:20:01"
FR-1-H_1_25_221,"00","19810709_ARNAUDOVSKI_RISTO_FR-1-H_1_FR_USAMNG_30918",,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,0,,,,,,0,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18","2021-03-08 00:20:01"
FR-1-H_1_25_221,"00","19830329_ANNOTEL_WILLIAM_FR-1-H_1_FR_USAMNG_30918",,,,,,,,,,,,,,,,,,,,,21,,,,,,7,,0.3,,2,,,,,,0,,0.0,,19,,,,,,7,,0.3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_25_221,"00","19840202_DUMOULIN_CYRIL_FR-1-H_1_FR_CSMBHB_73000",,,,,,,,,,,,,,,,,,,,,13,,,,,,6,,0.4,,1,,,,,,2,,0.7,,8,,,,,,4,,0.3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_25_221,"00","19840211_GRAHOVAC_NEBOJSA_FR-1-H_1_FR_CSMBHB_73000",,,,,,,,,,,,,,,,,,,,,11,,,,,,6,,0.4,,0,,,,,,1,,1.0,,9,,,,,,5,,0.4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_25_221,"00","19890623_MANSUY-FEVRE_EMILE_FR-1-H_1_FR_USAMNG_30918",,,,,,,,,,,,,,,,,,,,,5,,,,,,2,,0.3,,1,,,,,,0,,0.0,,4,,,,,,2,,0.3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_25_221,"00","19890823_CHEKHAR_ARNOLD_FR-1-H_1_FR_USAMNG_30918",,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,0,,,,,,0,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_25_222,"00","19800425_PAGES_BRUNO_FR-1-H_1_FR_HBCN_44200",,,,,,,,,,,,,,,,,,,,,13,,,,,,6,,0.4,,1,,,,,,1,,0.5,,10,,,,,,5,,0.3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18","2021-03-08 00:20:00"
FR-1-H_1_25_222,"00","19830728_MAGGAIEZ_MAROUENE_FR-1-H_1_FR_HBCN_44200",,,,,,,,,,,,,,,,,,,,,21,,,,,,9,,0.3,,0,,,,,,0,,,,21,,,,,,9,,0.3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_25_222,"00","19840113_IDRISSI_YASSINE_FR-1-H_1_FR_SCTHB_37540",,,,,,,,,,,,,,,,,,,,,19,,,,,,19,,0.5,,4,,,,,,0,,0.0,,15,,,,,,19,,0.6,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_25_222,"00","19890614_BREEMEERSCH_GREGOIRE_FR-1-H_1_FR_SCTHB_37540",,,,,,,,,,,,,,,,,,,,,12,,,,,,2,,0.2,,4,,,,,,1,,0.2,,6,,,,,,1,,0.1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_25_223,"00","19770421_CLEMENCON_STEPHANE_FR-1-H_1_FR_USIHB_94200",,,,,,,,,,,,,,,,,,,,,4,,,,,,2,,1.0,,0,,,,,,2,,1.0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_25_223,"00","19790517_ANNONAY_PATRICE_FR-1-H_1_FR_PSGHB_75016",,,,,,,,,,,,,,,,,,,,,26,,,,,,10,,0.3,,2,,,,,,2,,0.5,,20,,,,,,8,,0.3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_25_223,"00","19820222_CHAPON_FRANCOIS-XAVIER_FR-1-H_1_FR_USIHB_94200",,,,,,,,,,,,,,,,,,,,,17,,,,,,8,,0.3,,2,,,,,,1,,0.3,,13,,,,,,7,,0.4,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_25_223,"00","19840108_MARJANOVIC_NEMANJA_FR-1-H_1_FR_USIHB_94200",,,,,,,,,,,,,,,,,,,,,13,,,,,,8,,0.4,,1,,,,,,0,,0.0,,12,,,,,,8,,0.4,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_25_223,"00","19880928_DAHL_MAGNUS_FR-1-H_1_FR_PSGHB_75016",,,,,,,,,,,,,,,,,,,,,5,,,,,,1,,0.2,,0,,,,,,0,,,,5,,,,,,1,,0.2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_26_224,"00","19761102_LEMONNE_NICOLAS_FR-1-H_1_FR_CRMHB_35510",,,,,,,,,,,,,,,,,,,,,11,,,,,,4,,0.3,,2,,,,,,0,,0.0,,9,,,,,,4,,0.3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_26_224,"00","19840113_IDRISSI_YASSINE_FR-1-H_1_FR_SCTHB_37540",,,,,,,,,,,,,,,,,,,,,16,,,,,,12,,0.5,,2,,,,,,1,,0.3,,12,,,,,,11,,0.5,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_26_224,"00","19850202_GERVELAS_REMY_FR-1-H_1_FR_CRMHB_35510",,,,,,,,,,,,,,,,,,,,,16,,,,,,11,,0.4,,0,,,,,,0,,,,16,,,,,,11,,0.4,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_26_224,"00","19890614_BREEMEERSCH_GREGOIRE_FR-1-H_1_FR_SCTHB_37540",,,,,,,,,,,,,,,,,,,,,10,,,,,,5,,0.3,,1,,,,,,0,,0.0,,9,,,,,,5,,0.4,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_26_225,"00","19750414_STOJINOVIC_NEBOSJA_FR-1-H_1_FR_DMHB_21000",,,,,,,,,,,,,,,,,,,,,20,,,,,,7,,0.3,,1,,,,,,1,,0.5,,17,,,,,,6,,0.3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_26_225,"00","19760426_KREISS_MATHIEU_FR-1-H_1_FR_DMHB_21000",,,,,,,,,,,,,,,,,,,,,17,,,,,,5,,0.2,,2,,,,,,0,,0.0,,15,,,,,,5,,0.3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_26_225,"00","19781206_SIFFERT_ARNAUD_FR-1-H_1_FR_DHBGL_59140",,,,,,,,,,,,,,,,,,,,,11,,,,,,6,,0.4,,0,,,,,,0,,,,11,,,,,,6,,0.4,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_26_225,"00","19861216_GERARD_VINCENT_FR-1-H_1_FR_DHBGL_59140",,,,,,,,,,,,,,,,,,,,,19,,,,,,7,,0.3,,4,,,,,,2,,0.3,,11,,,,,,5,,0.3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_26_226,"00","19820222_CHAPON_FRANCOIS-XAVIER_FR-1-H_1_FR_USIHB_94200",,,,,,,,,,,,,,,,,,,,,21,,,,,,14,,0.4,,3,,,,,,0,,0.0,,18,,,,,,14,,0.4,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
